user,amount,tm_diff,platform1,platform2,platform3,platform4,platform5,platform6,tunnel_in1,tunnel_in2,tunnel_in3,tunnel_in4,tunnel_in5,tunnel_in6,tunnel_out1,tunnel_out2,tunnel_out3,tunnel_out4,type1_1,type1_2,type1_3,type1_4,type1_5,type1_6,type1_7,type1_8,type1_9,type1_10,type1_11,type1_12,type1_13,type1_14,type1_15,type1_16,type1_17,type1_18,type1_19,type1_20,type2_1,type2_2,type2_3,type2_4,type2_5,type2_6,type2_7,type2_8,type2_9,type2_10,type2_11,type2_12,type2_13
Train_13770,185784,19 days 09:02:45.000000000,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Train_13770,391769,19 days 09:03:58.000000000,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Train_08351,27740,18 days 11:06:49.000000000,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Train_08351,36689,26 days 09:52:51.000000000,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Train_08351,30746,26 days 07:50:05.000000000,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Train_08351,33728,10 days 10:52:00.000000000,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Train_12939,36689,11 days 08:32:17.000000000,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Train_12939,36689,11 days 08:32:17.000000000,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Train_12939,27740,11 days 08:32:17.000000000,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Train_12939,24798,11 days 08:32:18.000000000,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Train_12939,131785,30 days 09:35:35.000000000,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Train_12939,131706,30 days 09:33:51.000000000,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
