user,prob
TestA_00000,0.27414876
TestA_00001,0.29675284
TestA_00002,0.27232572
TestA_00003,0.33355546
TestA_00004,0.33883193
TestA_00005,0.2833317
TestA_00006,0.34751487
TestA_00007,0.2958712
TestA_00008,0.17267194
TestA_00009,0.28105816
TestA_00010,0.27849495
TestA_00011,0.33064613
TestA_00012,0.32950568
TestA_00013,0.30068335
TestA_00014,0.28187418
TestA_00015,0.3026198
TestA_00016,0.47128078
TestA_00017,0.27597
TestA_00018,0.49416697
TestA_00019,0.23471588
TestA_00020,0.35182375
TestA_00021,0.27114204
TestA_00022,0.27587965
TestA_00023,0.2975194
TestA_00024,0.24853055
TestA_00025,0.3657929
TestA_00026,0.3191782
TestA_00027,0.42198718
TestA_00028,0.36502704
TestA_00029,0.27111384
TestA_00030,0.2771879
TestA_00031,0.31312767
TestA_00032,0.33738053
TestA_00033,0.39284468
TestA_00034,0.37350652
TestA_00035,0.24320433
TestA_00036,0.29311383
TestA_00037,0.30739743
TestA_00038,0.1933966
TestA_00039,0.33943334
TestA_00040,0.32166794
TestA_00041,0.35170996
TestA_00042,0.31786296
TestA_00043,0.28775337
TestA_00044,0.40529937
TestA_00045,0.40489706
TestA_00046,0.28777358
TestA_00047,0.33214933
TestA_00048,0.3148861
TestA_00049,0.26973206
TestA_00050,0.28977582
TestA_00051,0.44159752
TestA_00052,0.19958247
TestA_00053,0.27132598
TestA_00054,0.3219993
TestA_00055,0.31781334
TestA_00056,0.27478307
TestA_00057,0.31983837
TestA_00058,0.3020825
TestA_00059,0.31898522
TestA_00060,0.36508664
TestA_00061,0.31443676
TestA_00062,0.30607873
TestA_00063,0.28779772
TestA_00064,0.32257128
TestA_00065,0.30578393
TestA_00066,0.2914432
TestA_00067,0.26968694
TestA_00068,0.26999322
TestA_00069,0.27783895
TestA_00070,0.2826456
TestA_00071,0.27665025
TestA_00072,0.2966998
TestA_00073,0.2798973
TestA_00074,0.349943
TestA_00075,0.24257392
TestA_00076,0.3332545
TestA_00077,0.2805452
TestA_00078,0.2783301
TestA_00079,0.28206334
TestA_00080,0.28768754
TestA_00081,0.27369425
TestA_00082,0.26612598
TestA_00083,0.1904257
TestA_00084,0.29147193
TestA_00085,0.30495605
TestA_00086,0.2924683
TestA_00087,0.2786058
TestA_00088,0.27207315
TestA_00089,0.3548827
TestA_00090,0.319674
TestA_00091,0.29394576
TestA_00092,0.30873582
TestA_00093,0.3782925
TestA_00094,0.27870107
TestA_00095,0.21019787
TestA_00096,0.26970243
TestA_00097,0.27359405
TestA_00098,0.15645848
TestA_00099,0.55292124
TestA_00100,0.29108825
TestA_00101,0.4956927
TestA_00102,0.28409272
TestA_00103,0.38788638
TestA_00104,0.31404257
TestA_00105,0.43616045
TestA_00106,0.34326497
TestA_00107,0.30446982
TestA_00108,0.28474593
TestA_00109,0.29285577
TestA_00110,0.32142234
TestA_00111,0.3041915
TestA_00112,0.31471235
TestA_00113,0.13088267
TestA_00114,0.27214247
TestA_00115,0.36794296
TestA_00116,0.28788742
TestA_00117,0.3209288
TestA_00118,0.28712022
TestA_00119,0.30532128
TestA_00120,0.2962202
TestA_00121,0.28550193
TestA_00122,0.36712515
TestA_00123,0.3362821
TestA_00124,0.27781436
TestA_00125,0.31186962
TestA_00126,0.31849402
TestA_00127,0.31070012
TestA_00128,0.2863865
TestA_00129,0.42978618
TestA_00130,0.32857957
TestA_00131,0.1940873
TestA_00132,0.36975113
TestA_00133,0.2878332
TestA_00134,0.34768477
TestA_00135,0.3709685
TestA_00136,0.27719492
TestA_00137,0.2779343
TestA_00138,0.3899224
TestA_00139,0.2964745
TestA_00140,0.324384
TestA_00141,0.29062176
TestA_00142,0.2884888
TestA_00143,0.37034264
TestA_00144,0.32398182
TestA_00145,0.27575827
TestA_00146,0.28345156
TestA_00147,0.26124704
TestA_00148,0.17884311
TestA_00149,0.35484606
TestA_00150,0.32755506
TestA_00151,0.23417999
TestA_00152,0.37626025
TestA_00153,0.27677158
TestA_00154,0.2808367
TestA_00155,0.2911963
TestA_00156,0.27239648
TestA_00157,0.29925084
TestA_00158,0.110991664
TestA_00159,0.38637727
TestA_00160,0.2902459
TestA_00161,0.283239
TestA_00162,0.31546044
TestA_00163,0.2933172
TestA_00164,0.27101848
TestA_00165,0.40223193
TestA_00166,0.28673518
TestA_00167,0.2852181
TestA_00168,0.30261126
TestA_00169,0.2713239
TestA_00170,0.33873084
TestA_00171,0.2854929
TestA_00172,0.2772676
TestA_00173,0.32065538
TestA_00174,0.27327785
TestA_00175,0.18562932
TestA_00176,0.33313224
TestA_00177,0.35446933
TestA_00178,0.29301402
TestA_00179,0.2749276
TestA_00180,0.35042742
TestA_00181,0.3037695
TestA_00182,0.29627305
TestA_00183,0.3006643
TestA_00184,0.2951273
TestA_00185,0.27496493
TestA_00186,0.2877285
TestA_00187,0.28773707
TestA_00188,0.3028228
TestA_00189,0.28848714
TestA_00190,0.33277544
TestA_00191,0.3012643
TestA_00192,0.30809966
TestA_00193,0.32960227
TestA_00194,0.28224987
TestA_00195,0.2839073
TestA_00196,0.29425746
TestA_00197,0.34874353
TestA_00198,0.27193257
TestA_00199,0.2946542
TestA_00200,0.31609222
TestA_00201,0.30989212
TestA_00202,0.006815063
TestA_00203,0.2925632
TestA_00204,0.28057912
TestA_00205,0.2084622
TestA_00206,0.29044974
TestA_00207,0.23476031
TestA_00208,0.27116588
TestA_00209,0.38820118
TestA_00210,0.28445297
TestA_00211,0.2964535
TestA_00212,0.28722405
TestA_00213,0.27019054
TestA_00214,0.28304937
TestA_00215,0.33742818
TestA_00216,0.36123267
TestA_00217,0.30317864
TestA_00218,0.28651926
TestA_00219,0.31096214
TestA_00220,0.2843382
TestA_00221,0.29646564
TestA_00222,0.30010283
TestA_00223,0.27462447
TestA_00224,0.36011466
TestA_00225,0.27715254
TestA_00226,0.30903688
TestA_00227,0.2837565
TestA_00228,0.31436026
TestA_00229,0.37776157
TestA_00230,0.28791344
TestA_00231,0.23684497
TestA_00232,0.40717703
TestA_00233,0.3477481
TestA_00234,0.3115733
TestA_00235,0.31184036
TestA_00236,0.27223825
TestA_00237,0.37489218
TestA_00238,0.2915774
TestA_00239,0.43776214
TestA_00240,0.27333596
TestA_00241,0.33848873
TestA_00242,0.27266085
TestA_00243,0.27071786
TestA_00244,0.27581072
TestA_00245,0.287826
TestA_00246,0.3301448
TestA_00247,0.35504746
TestA_00248,0.28065705
TestA_00249,0.2900843
TestA_00250,0.2829098
TestA_00251,0.3622098
TestA_00252,0.24905775
TestA_00253,0.38426065
TestA_00254,0.27794597
TestA_00255,0.35300022
TestA_00256,0.3471186
TestA_00257,0.30065313
TestA_00258,0.31651977
TestA_00259,0.29054773
TestA_00260,0.28913727
TestA_00261,0.35461393
TestA_00262,0.28942555
TestA_00263,0.43810195
TestA_00264,0.28354216
TestA_00265,0.32124287
TestA_00266,0.28629616
TestA_00267,0.28483665
TestA_00268,0.28342652
TestA_00269,0.28892466
TestA_00270,0.3059025
TestA_00271,0.3051159
TestA_00272,0.2778382
TestA_00273,0.31334254
TestA_00274,0.31210002
TestA_00275,0.3549213
TestA_00276,0.29129553
TestA_00277,0.2728746
TestA_00278,0.27717298
TestA_00279,0.30851787
TestA_00280,0.28587636
TestA_00281,0.29979405
TestA_00282,0.27784005
TestA_00283,0.36359692
TestA_00284,0.35736948
TestA_00285,0.2912593
TestA_00286,0.47043607
TestA_00287,0.28817514
TestA_00288,0.28418112
TestA_00289,0.30785882
TestA_00290,0.3436775
TestA_00291,0.28608942
TestA_00292,0.2851382
TestA_00293,0.28857625
TestA_00294,0.5191928
TestA_00295,0.28180018
TestA_00296,0.48294902
TestA_00297,0.31016794
TestA_00298,0.4913138
TestA_00299,0.27565107
TestA_00300,0.3113346
TestA_00301,0.29479435
TestA_00302,0.29756922
TestA_00303,0.3414689
TestA_00304,0.28505
TestA_00305,0.31589136
TestA_00306,0.28479305
TestA_00307,0.2935825
TestA_00308,0.27350354
TestA_00309,0.27762926
TestA_00310,0.29255307
TestA_00311,0.34451807
TestA_00312,0.29995033
TestA_00313,0.27272213
TestA_00314,0.2868895
TestA_00315,0.27788115
TestA_00316,0.29735592
TestA_00317,0.46505535
TestA_00318,0.301145
TestA_00319,0.36482087
TestA_00320,0.32841584
TestA_00321,0.2813378
TestA_00322,0.2857992
TestA_00323,0.32421812
TestA_00324,0.27638358
TestA_00325,0.35972613
TestA_00326,0.37952647
TestA_00327,0.2884395
TestA_00328,0.24402273
TestA_00329,0.28681597
TestA_00330,0.34073666
