column,importance
service2_cnt,0
product4_amount,0
product5_amount,0
agreement1,0
service1_cnt,2
trans_type1_2,11
op_device_48h_n,13
trans_type1_4,15
trans_ip_48h_n,16
product3_amount,23
product1_amount,25
trans_type1_3,27
trans_ip_3_nan_perc,28
op_ip_3_nan_perc,35
op_ip_3_n,40
trans_ip_ch_freq,40
op_ip_3_48h_n,40
op_ip_48h_n,43
trans_ip_3_std,43
card_b_cnt,44
agreement4,45
op_ip_n,50
trans_ip_3_ch_freq,50
service1_amt,53
verified,53
trans_platform_perc,64
balance2,65
op1_cnt,65
trans_ip_3_48h_n,67
card_a_cnt,67
agreement2,71
n_op,75
balance2_avg,78
trans_type2_perc,83
provider,87
trans_ip_n,88
op_mode_n,88
balance1,90
op_mode_std,91
op_type_std,96
trans_tunnel_in_std,97
trans_tunnel_in_perc,100
trans_type1_0,102
trans_platform_48h_n,105
balance,105
card_d_cnt,106
op_ip_ch_freq,107
op_ip_std,108
op_ip_3_ch_freq,110
city_10,110
regist_type,111
op_ip_3_std,113
trans_ip_perc,114
op_channel_n,114
op_channel_std,120
card_c_cnt,120
agreement3,124
trans_type1_perc,127
op_type_n,128
trans_platform_ch_freq,143
level,144
op_ip_perc,144
trans_type2_std,146
op_ip_3_perc,147
sex,149
acc_count,150
op_channel_ch_freq,160
city_17,161
trans_tunnel_in_nan_perc,166
trans_tunnel_out_std,168
balance1_avg,169
product2_amount,173
trans_type1_std,174
op_net_type_std,174
trans_platform_std,176
city_11,176
balance_avg,182
city_19,185
op_device_ch_freq,187
trans_ip_std,192
trans_ip_nan_perc,193
city_13,196
op_mode_perc,198
op_net_type_nan_perc,200
city_14,201
city_6,209
city_8,211
op_ip_nan_perc,212
city_15,212
op_type_perc,212
op_net_type_perc,217
city_9,218
city_0,219
op2_cnt,220
city_1,222
trans_type1_1,224
city_18,225
trans_48h_n,226
op_48h_n,231
city_7,231
city_5,239
city_12,240
trans_amount_std,246
city_2,247
op_device_std,262
agreement_total,276
city_4,285
login_days_cnt,287
service3,288
city_16,289
op_channel_perc,293
city_3,302
trans_amount_48h_n,308
op_device_perc,319
product6_amount,330
n_trans,332
trans_amount_max,340
ip_cnt,343
op_net_type_ch_freq,382
login_cnt_avg,383
op_device_nan_perc,408
login_cnt_period2,418
age,447
product7_cnt,450
login_cnt_period1,457
using_time,467
trans_amount_avg,522
product7_fail_cnt,835
